SEN. EHIGIE  EDOBOR,UZAMERE,Edo,Edo South (Senatorial District),Peoples Democratic Party
SEN. ODION  MAGNUS,UGBESIA,Edo,Edo Central  (Senatorial District),Peoples Democratic Party
SEN. DOMINGO ALABA,OBENDE,Edo,Edo North (Senatorial District),All Progressives Congress
SEN. OLUBUNMI,ADETUNMBI,Ekiti,Ekiti North (Senatorial District),All Progressives Congress
SEN. BABAFEMI,OJUDU,Ekiti,Ekiti Central (Senatorial District),All Progressives Congress
SEN. ANTHONY ADEMUYIWA,ADENIYI,Ekiti,Ekiti South (Senatorial District),All Progressives Congress
SEN. AYOGU,EZE,Enugu,Enugu North (Senatorial District),Peoples Democratic Party
SEN. IKE,EKWEREMADU,Enugu,Enugu West (Senatorial District),Peoples Democratic Party
SEN. GILBERT EMEKA,NNAJI,Enugu,Enugu East (Senatorial District),Peoples Democratic Party
SEN. SAID AHMED,ALKALI,Gombe,Gombe North (Senatorial District),Peoples Democratic Party
SEN. MOHAMMED DANJUMA,GOJE,Gombe,Gombe Central (Senatorial District),All Progressives Congress
SEN. JOSHUA M.,LIDANI,Gombe,Gombe South (Senatorial District),Peoples Democratic Party
SEN. CHRIS N. D,ANYANWU,Imo,Imo East  (Senatorial District),All Progressives Grand Alliance
SEN. HOPE ODIDIKA,UZODINMA,Imo,Imo West (Senatorial District),Peoples Democratic Party
SEN. PAULINUS I.,NWAGWU,Imo,imo North (Senatorial District),Peoples Democratic Party
SEN. ABDULAZIZ,USMAN,Jigawa ,Jigawa North East (Senatorial District),Peoples Democratic Party
SEN. ABDULMUMINI MUHAMMAD,HASSAN,Jigawa,Jigawa South-West (Senatorial District),Peoples Democratic Party
SEN. DANLADI ABDULLAHI,SANKARA,Jigawa,Jigawa North-West (Senatorial District),Peoples Democratic Party
SEN. AHMED M.,MAKARFI,Kaduna,Kaduna North  (Senatorial District),Peoples Democratic Party
SEN. MOHAMMED SANI,SALEH,Kaduna,Kaduna Central (Senatorial District),All Progressives Congress
SEN. NENADI ESTHER,USMAN,Kaduna,Kaduna South (Senatorial District),Peoples Democratic Party
SEN. BELLO HAYATU,GWARZO,Kano,Kano North Senatorial District (Senatorial District),Peoples Democratic Party
SEN. KABIRU  IBRAHIM,GAYA,Kano,Kano South  (Senatorial District),All Progressives Congress
SEN. BASHIR GARBA,MOHAMMED,Kano,Kano Central (Senatorial District),Peoples Democratic Party
SEN. ABU,IBRAHIM,Katsina,Katsina South (Senatorial District),All Progressives Congress
SEN. ABUBAKAR SADIK,YAR ADUA,Katsina,Katsina Central (Senatorial District),All Progressives Congress
SEN. HADI A,SIRIKA,Katsina,Katsina North (Senatorial District),All Progressives Congress
