HON. EZENWA FRANCIS ONYEWUCHI, All Progressives Grand Alliance, IMO
HON. CHUDI PATRICK UWAZURIKE, Peoples Democratic Party, IMO
HON. RAPHEAL UZOCHI NNANNA IGBOKWE, Peoples Democratic Party, IMO
HON. JERRY ALAGBASO, Peoples Democratic Party, IMO
HON. CHUKWUEMEKA NKEM IHEDIOHA , Peoples Democratic Party, IMO
HON. MATTHEW M. OMEGARA, All Progressives Congress, IMO
HON. BASHIR ADAMU, Peoples Democratic Party, JIGAWA
HON. YUSUFU SALE DUNARI , Peoples Democratic Party, JIGAWA
HON. MUSTAPHA KHABEEB, Peoples Democratic Party, JIGAWA
HON. SABO MOHAMMED NAKUDU, Peoples Democratic Party, JIGAWA
HON. IBRAHIM MOHAMMED GARBA, Peoples Democratic Party, JIGAWA
HON. HUSSEIN NAMADI ABDULKADIR, Peoples Democratic Party, JIGAWA
HON. YUSUF SHITU GALAMBI, Peoples Democratic Party, JIGAWA
HON. SAFIYANU TAURA UBALE, Peoples Democratic Party, JIGAWA
HON. WADA GARKI USMAN, Peoples Democratic Party, JIGAWA
HON. TIJJANI KIYAWA IBRAHIM, Peoples Democratic Party, JIGAWA
HON. ADAMU ABUNABO HASSAN, Peoples Democratic Party, JIGAWA
HON. SHEHU NICHOLAS GARBA, Peoples Democratic Party, KADUNA
HON. YAKUBU UMARU BARDE, Peoples Democratic Party, KADUNA
HON. ABBAS TAJUDEEN, All Progressives Congress, KADUNA
HON. CHANCHANGI RUFAI AHMED, All Progressives Congress, KADUNA
HON. IBRAHIM BELLO, All Progressives Congress, KADUNA
HON. YUSUF BALA, All Progressives Congress, KADUNA
HON. JAGABA ADAMS JAGABA, Peoples Democratic Party, KADUNA
HON. MOHAMMED SHAMSIDIN ANGO ABDULLAHI, All Progressives Congress, KADUNA
HON. IBRAHIM NUHU KAYARDA LAWAL, Peoples Democratic Party, KADUNA
HON. SIMON YAKUBU ARABO, Peoples Democratic Party, KADUNA
HON. GARBA DATTI MUHAMMAD, All Progressives Congress, KADUNA
HON. BAWA SHEHU USMAN, All Progressives Congress, KADUNA
HON. GWANI LUCAS GIDEON, Peoples Democratic Party, KADUNA
HON. GODFREY ALI GAIYA , Peoples Democratic Party, KADUNA
HON. IBRAHIM KHALID MUSTAPHA , Peoples Democratic Party, KADUNA
HON. ISA MOHAMMED ASHIRU, Peoples Democratic Party, KADUNA
HON. TIJJANI JOBE ABDULKADIR, All Progressives Congress, KANO
HON. FAROUK MOHAMMED LAWAN , Peoples Democratic Party, KANO
HON. MUSA TSAMIYA ADO, All Progressives Congress, KANO
HON. AHMAD AUDI ZAREWA, All Progressives Congress, KANO
HON. ABDULMUMIN JIBRIN, All Progressives Congress, KANO
HON. HARUNA FATAHI MUSA, All Progressives Congress, KANO
HON. USMAN ADAMU MOHAMMED, All Progressives Congress, KANO
HON. SANI MOHAMMED ALIYU RANO, All Progressives Congress, KANO
HON. NASIRU SULE GARO, All Progressives Congress, KANO
HON. MUHTARI MUHAMMAD CHIROMAWA, All Progressives Congress, KANO
HON. MUNIR BABBA DANAGUNDI, Peoples Democratic Party, KANO
HON. NASIRU BABALLE ILA, All Progressives Congress, KANO
HON. MUHAMMAD BASHIR GALADANCHI, Peoples Democratic Party, KANO
HON. LAWAN SHEHU, All Progressives Congress, KANO
HON. NASSIR ALI AHMED, All Progressives Congress, KANO
HON. BADAMASI AYUBA, All Progressives Congress, KANO
HON. ALIYU SANI MADAKI, All Progressives Congress, KANO
HON. BABALE BASHIR, All Progressives Congress, KANO
HON. ABDULSALAM ADAMU, Peoples Democratic Party, KANO
HON. MUSTAPHA DAWAKI BALA, All Progressives Congress, KANO
HON. AMINU GORO SULEIMAN, All Progressives Congress, KANO
HON. SUMAILA KAWU SULEIMAN ABDULRAHAMAN, All Progressives Congress, KANO
HON. ALHASSAN ADO GARBA , All Progressives Congress, KANO
HON. MOHAMMED ALI WUDIL, All Progressives Congress, KANO
HON. DANLAMI GARBA, Peoples Democratic Party, KATSINA
HON. HAMZA DALHAT, All Progressives Congress, KATSINA
HON. SANI AUWALU, Peoples Democratic Party, KATSINA
HON. NASIRU ZANGON DAURA SANI, All Progressives Congress, KATSINA
HON. GAMBO MUSA DAN-MUSA, All Progressives Congress, KATSINA
HON. TUKUR AMIRUDDIN, All Progressives Congress, KATSINA
