HON. UDENDE EMMAUEL MEMGA,Benue,Katsina-Ala Ukum Logo,(Federal Constituency),Peoples Democratic Party
HON. ITYAR JOSEPH TERFA,Benue,Buruku,(Federal Constituency),Peoples Democratic Party
HON. MSHELIZA ABDUL MUSA,Borno,Askira /Uba / Hawul,(Federal Constituency),All Progressives Congress
HON. SANDA MOHAMMED  ALHAJI,Borno,Kaga / Gubio / Magumeri,(Federal Constituency),All Progressives Congress
HON. GUJBAWU KAKA KYARI,Borno,Maiduguri,(Federal Constituency),Peoples Democratic Party
HON.  TERAB ABDURAHMAN ABBA,Borno,Bama / Ngala,(Federal Constituency),All Progressives Congress
HON. MONGUNO MOHAMMED TAHIR,Borno,"Marte, Monhuno & Nganzai",(Federal Constituency),All Progressives Congress
HON. KHADI IBRAHIM KAAMUNA,Borno,Jere,(Federal Constituency),Peoples Democratic Party
HON. LAWAN ISA,Borno,"Kukawa, Gutamala Abadam, Mobbar",(Federal Constituency),All Progressives Congress
HON. BIYE PETER GUMTHA,Borno,Damibo'a / Chibok/ Gwoza,(Federal Constituency),All Progressives Congress
HON. MAINA MAHMUD LAWAN MAINA,Borno,Mafa/Dikwa/Konduga,(Federal Constituency),All Progressives Congress
HON. MUKTAR ALIYU BETARA,Borno,Biu / Bayo / Kwaya-Kusar / Shani,(Federal Constituency),All Progressives Congress
HON. OKO ROSE OKOJI,Cross River,OGOJA/YALA,(Federal Constituency),Peoples Democratic Party
HON. ASUOUO DANIEL EFFIONG,Cross River,AKAMKPA/BIASE,(Federal Constituency),Peoples Democratic Party
HON. TOYO NKOYO ESU,Cross River,CALABAR/UDOKPANI,(Federal Constituency),Peoples Democratic Party
HON. ADAH FRANCIS BUSAM,Cross River,OBANIKU/OBUDU/BEKWARRA,(Federal Constituency),Peoples Democratic Party
HON. EKO EWA BASSEY,Cross River,Yakurr/Abi,(Federal Constituency),Peoples Democratic Party
HON. ETA  CHRISTOPHER   SUNDAY,Cross River,Boki/Ikom,(Federal Constituency),Peoples Democratic Party
HON. ENOH JOHN ENOH OWAN,Cross River,Obubra/Etung,(Federal Constituency),Peoples Democratic Party
HON. AYI ESSIEN   EKPEYONG,Cross River,Calabar South/Akpabuyo/Bakassi,(Federal Constituency),Peoples Democratic Party
HON. AUSTIN OGBABURHON OKPOVIEKPURAI,Delta,Udu/Ughelli North/South,(Federal Constituency),Democratic Peoples Party
HON. VICTOR NWOKOLO ONYEMECHI,Delta,Ikan North-East,(Federal Constituency),Peoples Democratic Party
HON. AKPODIOGAGA EMEYESE SUNDAY,Delta,Ethiope,(Federal Constituency),Peoples Democratic Party
